date,game_id,home_team,away_team,home_score,away_score,home_win,total_runs,home_pitcher,home_pitcher_era,home_pitcher_whip,home_bullpen_era,home_ops,home_avg,home_slg,home_era,home_whip,home_last5,away_pitcher,away_pitcher_era,away_pitcher_whip,away_bullpen_era,away_ops,away_avg,away_slg,away_era,away_whip,away_last5
2025-07-13,777117,San Diego Padres,Philadelphia Phillies,1,2,0,3,Yuki Matsui,5.05,1.4488636363636362,4.3533333333333335,0.689,0.245,0.374,3.64,0.8888888888888888,,Jesús Luzardo,4.14,1.4121037463976946,3.5769999999999995,0.733,0.255,0.404,3.64,1.4444444444444444,
2025-07-13,777113,Minnesota Twins,Pittsburgh Pirates,1,2,0,3,Justin Topa,3.82,1.3709677419354838,,0.706,0.24,0.397,4.07,1.3333333333333333,,Paul Skenes,2.01,0.9256198347107438,,0.639,0.23,0.339,3.73,0.7777777777777778,
2025-07-13,777130,Boston Red Sox,Tampa Bay Rays,4,1,1,5,Walker Buehler,6.12,1.564102564102564,,0.759,0.256,0.433,3.79,0.8888888888888888,,Taj Bradley,4.6,1.2790697674418605,,0.725,0.258,0.405,3.78,1.125,
2025-07-13,777129,Baltimore Orioles,Miami Marlins,1,11,0,12,Dean Kremer,4.24,1.2765957446808511,,0.703,0.239,0.398,4.92,2.2222222222222223,,Lake Bachar,3.02,1.1312217194570136,,0.707,0.254,0.392,4.58,0.5555555555555556,
2025-07-13,777122,New York Yankees,Chicago Cubs,1,4,0,5,JT Brubaker,6.43,1.7142857142857142,,0.791,0.256,0.455,3.82,1.4444444444444444,,Daniel Palencia,1.57,0.8797653958944281,,0.771,0.256,0.446,3.84,0.3333333333333333,
2025-07-13,777128,Cincinnati Reds,Colorado Rockies,4,2,1,6,Emilio Pagán,2.93,0.875,,0.714,0.246,0.397,3.91,1.1111111111111112,,Victor Vodnik,2.96,1.4391143911439113,,0.669,0.23,0.378,5.56,1.625,
2025-07-13,777124,Kansas City Royals,New York Mets,3,2,1,5,Sam Long,9.82,2.0422535211267605,,0.674,0.245,0.374,3.49,1.3333333333333333,,Sean Manaea,2.7,1.6129032258064515,,0.738,0.244,0.415,3.56,1.3580246913580247,
2025-07-13,777125,Houston Astros,Texas Rangers,1,5,0,6,Framber Valdez,2.75,1.1239669421487604,,0.734,0.258,0.411,3.61,1.2222222222222223,,Shawn Armstrong,3.21,0.9047619047619048,,0.676,0.232,0.376,3.28,0.7777777777777778,
2025-07-13,777121,Detroit Tigers,Seattle Mariners,4,8,0,12,Chase Lee,3.69,1.1217948717948718,3.7987499999999996,0.749,0.252,0.425,3.69,1.8888888888888888,,Logan Evans,3.75,1.3572854291417165,3.96,0.744,0.25,0.418,3.89,1.1111111111111112,
2025-07-13,777120,Chicago White Sox,Cleveland Guardians,5,6,0,11,Steven Wilson,2.15,1.3058419243986255,,0.638,0.22,0.344,4.15,0.8,,Emmanuel Clase,2.91,1.2296983758700695,,0.66,0.222,0.366,3.92,1.0,
2025-07-13,777123,Milwaukee Brewers,Washington Nationals,8,1,1,9,Tobias Myers,4.95,1.8,2.9700000000000006,0.707,0.248,0.383,3.66,0.5555555555555556,"W, W, W, W, W",Jose A. Ferrer,5.03,1.2474012474012475,3.9662500000000005,0.7,0.245,0.389,5.21,1.625,"W, L, L, L, L"
2025-07-13,777118,St. Louis Cardinals,Atlanta Braves,5,4,1,9,Steven Matz,3.35,1.1372549019607843,,0.715,0.252,0.393,4.11,1.2222222222222223,,Spencer Strider,3.94,1.1764705882352942,,0.703,0.243,0.388,3.88,1.5,
2025-07-13,777119,San Francisco Giants,Los Angeles Dodgers,2,5,0,7,Scott Alexander,6.11,1.8604651162790697,,0.678,0.229,0.369,3.5,0.9090909090909091,,Ben Casparius,4.45,1.1897106109324758,,0.776,0.256,0.445,4.29,0.8181818181818182,
2025-07-13,777116,Athletics,Toronto Blue Jays,6,3,1,9,Luis Severino,5.16,1.4146772767462423,,0.734,0.249,0.417,5.2,0.4444444444444444,,Tommy Nance,0.0,1.0,,0.734,0.258,0.404,4.16,1.75,
